date:2020/01/11 00:00:30,  ip:162.158.118.45,  hostname:162.158.118.45,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/01/11 00:38:18,  ip:162.158.118.111,  hostname:162.158.118.111,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/01/11 11:56:14,  ip:162.158.119.126,  hostname:162.158.119.126,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/79.0.3945.73 Mobile/15E148 Safari/604.1,  遷移元:http://jis-j.com/admin/login.php
date:2020/01/11 11:56:14,  ip:162.158.119.126,  hostname:162.158.119.126,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/79.0.3945.73 Mobile/15E148 Safari/604.1,  遷移元:http://jis-j.com/admin/login.php
date:2020/01/11 11:56:16,  ip:162.158.119.126,  hostname:162.158.119.126,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/79.0.3945.73 Mobile/15E148 Safari/604.1,  遷移元:http://jis-j.com/admin/menu.php
date:2020/01/11 11:56:17,  ip:162.158.119.126,  hostname:162.158.119.126,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/79.0.3945.73 Mobile/15E148 Safari/604.1,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/01/11 11:56:39,  ip:162.158.119.126,  hostname:162.158.119.126,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/79.0.3945.73 Mobile/15E148 Safari/604.1,  遷移元:http://jis-j.com/admin/menu.php
date:2020/01/11 11:56:39,  ip:162.158.119.126,  hostname:162.158.119.126,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/79.0.3945.73 Mobile/15E148 Safari/604.1,  遷移元:http://jis-j.com/admin/tour.php
date:2020/01/11 13:53:12,  ip:162.158.118.231,  hostname:162.158.118.231,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/01/11 13:53:12,  ip:162.158.118.231,  hostname:162.158.118.231,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/01/11 13:53:17,  ip:162.158.118.223,  hostname:162.158.118.223,  requestUrl:/admin/eng_offer.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2020/01/11 13:53:18,  ip:162.158.118.231,  hostname:162.158.118.231,  requestUrl:/controller/admin/eng_offer_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2020/01/11 13:53:21,  ip:162.158.118.231,  hostname:162.158.118.231,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2020/01/11 13:53:22,  ip:162.158.118.231,  hostname:162.158.118.231,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/01/11 13:53:25,  ip:162.158.118.231,  hostname:162.158.118.231,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/01/11 13:53:25,  ip:162.158.118.223,  hostname:162.158.118.223,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/01/11 13:53:31,  ip:162.158.118.223,  hostname:162.158.118.223,  requestUrl:/admin/member.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/01/11 13:53:31,  ip:162.158.118.223,  hostname:162.158.118.223,  requestUrl:/controller/admin/member_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/member.php
date:2020/01/11 18:21:27,  ip:162.158.119.102,  hostname:162.158.119.102,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/01/11 18:21:27,  ip:162.158.119.102,  hostname:162.158.119.102,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/01/11 18:21:31,  ip:162.158.119.102,  hostname:162.158.119.102,  requestUrl:/admin/member.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2020/01/11 18:21:32,  ip:162.158.119.102,  hostname:162.158.119.102,  requestUrl:/controller/admin/member_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/member.php
date:2020/01/11 18:21:35,  ip:162.158.119.102,  hostname:162.158.119.102,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/member.php
date:2020/01/11 18:21:35,  ip:162.158.119.102,  hostname:162.158.119.102,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/01/11 18:21:38,  ip:162.158.119.102,  hostname:162.158.119.102,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/01/11 18:21:38,  ip:162.158.119.102,  hostname:162.158.119.102,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/01/11 18:21:40,  ip:162.158.119.102,  hostname:162.158.119.102,  requestUrl:/admin/eng_offer.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/01/11 18:21:41,  ip:162.158.119.102,  hostname:162.158.119.102,  requestUrl:/controller/admin/eng_offer_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2020/01/11 21:25:42,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/01/11 21:25:43,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/01/11 21:25:46,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/admin/member.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2020/01/11 21:25:47,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/controller/admin/member_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/member.php
date:2020/01/11 21:25:49,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/member.php
date:2020/01/11 21:25:50,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/01/11 21:25:52,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/01/11 21:25:52,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/01/11 21:25:54,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/admin/eng_offer.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/01/11 21:25:54,  ip:162.158.118.251,  hostname:162.158.118.251,  requestUrl:/controller/admin/eng_offer_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
