date:2020/02/04 03:25:13,  ip:162.158.119.114,  hostname:162.158.119.114,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/02/04 19:44:10,  ip:162.158.118.75,  hostname:162.158.118.75,  requestUrl:/admin/category.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/category.php
date:2020/02/04 19:44:10,  ip:162.158.118.75,  hostname:162.158.118.75,  requestUrl:/controller/admin/category_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/category.php
date:2020/02/04 19:44:13,  ip:162.158.118.75,  hostname:162.158.118.75,  requestUrl:/admin/ad.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/category.php
date:2020/02/04 19:44:13,  ip:162.158.118.75,  hostname:162.158.118.75,  requestUrl:/controller/admin/ad_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2020/02/04 19:44:23,  ip:162.158.118.167,  hostname:162.158.118.167,  requestUrl:/admin/admin_user.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2020/02/04 19:44:23,  ip:162.158.118.167,  hostname:162.158.118.167,  requestUrl:/controller/admin/admin_user_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/admin_user.php
date:2020/02/04 23:22:47,  ip:162.158.118.73,  hostname:162.158.118.73,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/02/04 23:22:47,  ip:162.158.118.73,  hostname:162.158.118.73,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/02/04 23:22:51,  ip:162.158.118.75,  hostname:162.158.118.75,  requestUrl:/admin/eng_offer.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2020/02/04 23:22:52,  ip:162.158.118.89,  hostname:162.158.118.89,  requestUrl:/controller/admin/eng_offer_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2020/02/04 23:22:54,  ip:162.158.118.89,  hostname:162.158.118.89,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2020/02/04 23:22:54,  ip:162.158.118.89,  hostname:162.158.118.89,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/02/04 23:22:57,  ip:162.158.118.155,  hostname:162.158.118.155,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/02/04 23:22:57,  ip:162.158.118.217,  hostname:162.158.118.217,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/02/04 23:40:58,  ip:162.158.7.138,  hostname:162.158.7.138,  requestUrl:/controller/admin/common_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763,  遷移元:https://jis-j.com/mypage_agency/edit.php?tid=157
date:2020/02/04 23:44:47,  ip:162.158.7.130,  hostname:162.158.7.130,  requestUrl:/controller/admin/common_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763,  遷移元:https://jis-j.com/mypage_agency/edit.php?tid=157
date:2020/02/04 23:47:24,  ip:162.158.7.132,  hostname:162.158.7.132,  requestUrl:/controller/admin/common_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763,  遷移元:https://jis-j.com/mypage_agency/edit.php?tid=164
date:2020/02/04 23:52:48,  ip:162.158.6.45,  hostname:162.158.6.45,  requestUrl:/controller/admin/common_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763,  遷移元:https://jis-j.com/mypage_agency/edit.php?tid=164
